ISO,Pays,Institution
MON,Montenegro ,FMI
MAR,Morocco ,FMI
MOZ,Mozambique ,FMI
MMR,Myanmar,FMI
NAM,Namibia ,FMI
NRU,Nauru ,FMI
NPL,Nepal ,FMI
NLD,Netherlands ,FMI
NZL,New Zealand ,FMI
NIC,Nicaragua ,FMI
NER,Niger ,FMI
NGA,Nigeria ,FMI
NOR,Norway ,FMI
OMN,Oman ,FMI
PAK,Pakistan ,FMI
PLW,Palau ,FMI
PAN,Panama ,FMI
PNG,Papua New Guinea ,FMI
PRY,Paraguay ,FMI
PER,Peru ,FMI
PHL,Philippines ,FMI
POL,Poland ,FMI
PRT,Portugal ,FMI
QAT,Qatar ,FMI
ROM,Romania ,FMI
RUS,Russian Federation ,FMI
RWA,Rwanda ,FMI
WSM,Samoa ,FMI
SMR,San Marino ,FMI
STP,São Tomé and Príncipe,FMI
SAU,Saudi Arabia ,FMI
SEN,Senegal ,FMI
SCG,Serbia ,FMI
SYC,Seychelles ,FMI
SLE,Sierra Leone ,FMI
SGP,Singapore ,FMI
SVK,Slovak Republic ,FMI
SVN,Slovenia ,FMI
SLB,Solomon Islands ,FMI
SOM,Somalia ,FMI
ZAF,South Africa ,FMI
SSD,"South Sudan, Republic of",FMI
ESP,Spain ,FMI
LKA,Sri Lanka ,FMI
KNA,St. Kitts and Nevis ,FMI
LCA,St. Lucia ,FMI
VCT,St. Vincent and the Grenadines ,FMI
SDN,Sudan ,FMI
SUR,Suriname ,FMI
SWZ,Swaziland ,FMI
SWE,Sweden ,FMI
CHE,Switzerland ,FMI
SYR,Syrian Arab Republic,FMI
TJK,Tajikistan ,FMI
TZA,Tanzania ,FMI
THA,Thailand ,FMI
TLS,Timor-Leste ,FMI
TGO,Togo ,FMI
TON,Tonga ,FMI
TTO,Trinidad and Tobago ,FMI
TUN,Tunisia ,FMI
TUR,Turkey ,FMI
TKM,Turkmenistan,FMI
TUV,Tuvalu,FMI
UGA,Uganda ,FMI
UKR,Ukraine ,FMI
ARE,United Arab Emirates ,FMI
GBR,United Kingdom ,FMI
USA,United States ,FMI
URY,Uruguay ,FMI
UZB,Uzbekistan ,FMI
VUT,Vanuatu ,FMI
VEN,"Venezuela, República Bolivariana de ",FMI
VNM,Vietnam ,FMI
YEM,"Yemen, Republic of ",FMI
ZMB,Zambia ,FMI
ZWE,Zimbabwe ,FMI
,  ,
